"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4213","Всплывающее окно закрывается кликом по крестику","tests","Mon May 05 15:59:23 MSK 2025","passed","Mon May 05 15:59:27 MSK 2025","TestHomePage","test_home_page","",""
"","5142","Проверка перехода в ""Лента заказов""","tests","Mon May 05 15:58:04 MSK 2025","passed","Mon May 05 15:58:09 MSK 2025","TestHomePage","test_home_page","",""
"","3565","Проверка перехода на главную страницу ""Конструктор""","tests","Mon May 05 15:57:46 MSK 2025","passed","Mon May 05 15:57:49 MSK 2025","TestHomePage","test_home_page","",""
"","4327","Проверка перехода в ""Лента заказов""","tests","Mon May 05 15:58:16 MSK 2025","passed","Mon May 05 15:58:21 MSK 2025","TestHomePage","test_home_page","",""
"","4596","Всплывающее окно закрывается кликом по крестику","tests","Mon May 05 15:59:34 MSK 2025","passed","Mon May 05 15:59:39 MSK 2025","TestHomePage","test_home_page","",""
"","252426","Авторизованный пользователь оформил заказ","","Mon May 05 16:00:01 MSK 2025","passed","Mon May 05 16:04:13 MSK 2025","","","",""
"","24081","При клике на ингредиент, появляется всплывающее окно с деталями","tests","Mon May 05 15:58:55 MSK 2025","broken","Mon May 05 15:59:19 MSK 2025","TestHomePage","test_home_page","",""
"","3858","Проверка перехода на главную страницу ""Конструктор""","tests","Mon May 05 15:57:56 MSK 2025","passed","Mon May 05 15:58:00 MSK 2025","TestHomePage","test_home_page","",""
"","23875","При клике на ингредиент, появляется всплывающее окно с деталями","tests","Mon May 05 15:58:25 MSK 2025","broken","Mon May 05 15:58:48 MSK 2025","TestHomePage","test_home_page","",""
"","5086","Авторизованный пользователь оформил заказ","tests","Mon May 05 15:59:45 MSK 2025","passed","Mon May 05 15:59:50 MSK 2025","TestHomePage","test_home_page","",""
